timestamp,util_pct,mem_used_mib,power_w,temp_c
1786948921,100,8388,215.52,47
1786948922,100,8388,213.93,47
1786948923,100,8388,214.05,47
1786948924,100,8388,214.99,47
1786948925,100,8388,214.42,47
1786948927,100,8388,214.73,47
1786948928,100,8388,215.96,47
1786948929,100,8388,215.37,47
1786948930,100,8388,216.66,47
1786948931,100,8388,216.26,47
1786948932,100,8388,215.12,47
1786948933,100,8388,216.17,47
1786948934,100,8388,218.38,47
1786948935,100,8388,215.94,47
1786948936,100,8388,213.40,47
1786948937,100,8388,213.22,47
1786948939,100,8388,213.89,47
1786948940,100,8388,215.08,48
1786948941,100,8388,217.20,48
1786948942,100,8388,214.80,48
1786948943,100,8388,216.41,48
1786948944,100,8388,214.69,48
1786948945,100,8388,216.27,48
1786948946,100,8388,217.32,48
1786948947,100,8388,218.59,48
1786948948,100,8388,214.01,48
1786948949,100,8388,214.36,48
1786948951,100,8388,216.66,48
1786948952,100,8388,214.99,48
1786948953,100,8388,216.31,48
1786948954,100,8388,216.85,48
1786948955,100,8388,215.39,48
1786948956,100,8388,215.74,48
1786948957,100,8388,213.98,48
1786948958,100,8388,219.71,48
1786948959,100,8388,218.38,48
1786948960,100,8388,219.42,48
1786948962,100,8388,222.66,48
1786948963,100,8388,222.11,48
1786948964,100,8388,220.77,48
1786948965,100,8388,219.00,48
1786948966,100,8388,211.63,48
1786948967,100,8388,205.56,48
1786948968,100,8388,208.53,48
1786948969,100,8388,205.60,48
1786948970,99,8388,204.79,48
1786948971,100,8388,205.59,48
1786948972,100,8388,208.52,48
1786948973,100,8388,208.28,48
1786948975,100,8388,206.95,48
1786948976,100,8388,210.16,48
1786948977,100,8388,207.80,48
1786948978,100,8388,207.42,48
1786948979,100,8388,206.51,48
1786948980,100,8388,207.73,48
1786948981,100,8388,208.38,48
1786948982,100,8388,207.21,48
1786948983,100,8388,205.92,48
1786948984,100,8388,206.98,48
1786948985,100,8388,206.08,48
1786948986,100,8388,208.44,48
1786948988,100,8388,208.54,48
1786948989,100,8388,207.26,48
1786948990,100,8388,203.88,48
1786948991,100,8388,201.44,48
1786948992,100,8388,198.24,47
1786948993,100,8388,195.27,47
1786948994,100,8388,194.42,47
1786948995,100,8388,193.75,47
1786948996,100,8388,198.61,47
1786948997,100,8388,194.38,47
1786948999,100,8388,190.98,47
1786949000,100,8388,191.30,47
1786949001,100,8388,191.96,47
1786949002,100,8388,191.46,47
1786949003,100,8388,187.92,47
1786949004,100,8388,188.49,47
1786949005,100,8388,190.15,47
1786949006,100,8388,189.57,47
1786949007,100,8388,188.22,47
1786949008,100,8388,187.62,47
1786949009,100,8388,185.37,47
1786949011,100,8388,186.21,47
1786949012,100,8388,186.27,47
1786949013,100,8388,189.30,47
1786949014,100,8388,188.60,47
1786949015,100,8388,186.58,47
1786949016,100,8388,186.21,47
1786949017,100,8388,185.32,47
1786949019,100,8388,182.02,47
1786949020,100,8388,183.51,46
1786949021,100,8388,183.34,46
1786949022,100,8388,183.36,46
1786949023,100,8388,183.72,46
1786949024,100,8388,183.51,46
1786949025,100,8388,183.67,46
1786949026,100,8388,183.94,46
1786949027,100,8388,184.09,46
1786949028,100,8388,182.13,46
1786949029,100,8388,182.57,46
